21,0.007873563530344558
21,0.007873563530344558
27,0.007873563533769844
27,0.00787336980334673
21,2.930178047763264e-11
29,1.755315037410118e-11
30,2.629927394630105e-16
22,1.1748679378573678e-11
21,2.930178047763264e-11
22,1.1748679378573678e-11
24,1.0037392619586124e-12
26,7.215639799781502e-14
28,5.89265937363678e-15
30,2.629927394630105e-16
22,2.930178047763264e-11
22,3.030516676579747e-18
22,3.03057462881832e-18
26,7.215639799781502e-14
28,5.89265937363678e-15
30,2.629927394630105e-16
32,1.3433511787290153e-17
34,6.202953649456586e-18
36,3.5575338767096264e-18
38,3.5031843003550935e-18
40,3.0301956253805413e-18
40,2.930178047763264e-11
40,2.930178047763264e-11
40,2.930178047763264e-11
44,1.1748679378573678e-11
20,1.9923813955793254e-10
18,1.1905207333147452e-09
32,1.3433511787290153e-17
46,3.030574282872787e-18
48,3.030574282872787e-18
44,3.030574282872787e-18
21,2.930178047763264e-11
23,1.1748679378573678e-11
24,1.1748679378573678e-11
