22,1.142825707550782e-11
18,3.1576407423905187e-09
20,2.1412400857356354e-10
22,1.145682454108028e-11
24,5.0890212639872946e-12
26,1.1241694451280058e-13
28,3.347030172440188e-15
30,1.5334800833683083e-16
32,1.8967137894782073e-17
18,3.1576407423905187e-09
20,2.1412400857356354e-10
22,1.145682454108028e-11
32,1.8967137894782073e-17
32,1.8967137894782073e-17
32,1.8967137894782073e-17
48,1.8967137894782073e-17
35,3.786713110601545e-18
38,3.791119394469112e-18
40,2.6057464879644223e-18
42,2.6073724099757062e-18
45,2.6073724099757062e-18
48,2.6073724099757062e-18
23,1.145682454108028e-11
24,1.145682454108028e-11
